name,family,cv_mean,cv_std,fold_scores,batch,run_at
knn_k_refine_standard_k21_uniform_p2,KNN,0.794086518514205,0.0084302916202255,0.806210;0.785509;0.796435;0.798619;0.783659,knn_k_refine,2026-05-07T22:42:25
knn_scaler_standard_k21_uniform_p2,KNN,0.794086518514205,0.0084302916202255,0.806210;0.785509;0.796435;0.798619;0.783659,knn_scaler_compare,2026-05-07T22:43:46
knn_feature_no_ids_standard_k23_uniform_p2,KNN,0.7933965329332956,0.0062030770776985,0.803335;0.788384;0.792409;0.796893;0.785961,knn_feature_trim,2026-05-07T22:44:10
knn_feature_no_ids_standard_k29_uniform_p2,KNN,0.793396268241407,0.0092503405137057,0.803910;0.783209;0.799310;0.799194;0.781358,knn_feature_trim,2026-05-07T22:44:10
knn_no_name_refine_k21_distance_p2,KNN,0.7931663171630853,0.0095949627793712,0.803335;0.788384;0.792984;0.803222;0.777906,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_refine_k19_distance_p2,KNN,0.7931663171630852,0.0103902434612494,0.802185;0.787809;0.794710;0.804948;0.776180,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_refine_k21_uniform_p2,KNN,0.792706017968609,0.0114177219229783,0.806786;0.783784;0.794135;0.802647;0.776180,knn_no_name_refine,2026-05-07T22:46:35
knn_feature_core_spend_standard_k29_uniform_p2,KNN,0.7927058856226645,0.008671584273107,0.805635;0.782634;0.797585;0.794016;0.783659,knn_feature_trim,2026-05-07T22:44:10
knn_k_refine_standard_k19_distance_p2,KNN,0.7925920019375446,0.0092725467092252,0.803910;0.780909;0.790684;0.802647;0.784810,knn_k_refine,2026-05-07T22:42:25
knn_feature_no_ids_standard_k27_uniform_p2,KNN,0.7924762654092039,0.0081979401312579,0.798735;0.784359;0.798160;0.800345;0.780783,knn_feature_trim,2026-05-07T22:44:10
knn_no_name_fine_k26_uniform_p1,KNN,0.792476000717315,0.0086883665609235,0.806210;0.782059;0.795285;0.794591;0.784235,knn_no_name_fine,2026-05-07T22:48:30
knn_feature_no_ids_standard_k25_uniform_p2,KNN,0.7920159000417551,0.0062658083867269,0.801035;0.787234;0.793560;0.795167;0.783084,knn_feature_trim,2026-05-07T22:44:10
knn_no_name_refine_k19_uniform_p2,KNN,0.7919010237620526,0.0119726754423125,0.803910;0.780909;0.795285;0.804373;0.775029,knn_no_name_refine,2026-05-07T22:46:35
knn_feature_core_spend_standard_k25_uniform_p2,KNN,0.7919004943782753,0.006349528783109,0.800460;0.788384;0.795860;0.792865;0.781933,knn_feature_trim,2026-05-07T22:44:10
knn_feature_core_spend_standard_k23_uniform_p2,KNN,0.7905203246975397,0.0052446089779435,0.798735;0.787234;0.792409;0.791139;0.783084,knn_feature_trim,2026-05-07T22:44:10
knn_feature_core_spend_standard_k27_uniform_p2,KNN,0.7899449507044444,0.0083147628486442,0.801610;0.781484;0.795285;0.791715;0.779632,knn_feature_trim,2026-05-07T22:44:10
knn_scaler_robust_k29_uniform_p1,KNN,0.7863788892337235,0.0076005321602079,0.798735;0.778033;0.790684;0.784810;0.779632,knn_scaler_compare,2026-05-07T22:43:46
knn_standard_k25_uniform_p2,KNN,0.7861491366743184,0.0081308493983764,0.791834;0.779758;0.792409;0.793441;0.773303,legacy,
knn_ablate_drop_ratio_numeric_bin070_num120_k23_distance_p1,KNN,0.7860343927405602,0.0070004192870996,0.789534;0.786659;0.784934;0.795167;0.773878,knn_weight_ablation,2026-05-07T23:08:38
knn_ablate_drop_ratio_numeric_bin070_num125_k23_distance_p1,KNN,0.7855744905839168,0.0066271514282584,0.790684;0.784934;0.782059;0.794591;0.775604,knn_weight_ablation,2026-05-07T23:08:38
knn_standard_k25_distance_p2,KNN,0.7855740273731118,0.0091766928673965,0.792984;0.776883;0.791834;0.794016;0.772152,legacy,
knn_standard_k35_uniform_p2,KNN,0.7845382880125676,0.0069381599582023,0.794710;0.778033;0.789534;0.784235;0.776180,legacy,
knn_standard_k25_distance_p1,KNN,0.78430906483694,0.0078649024783176,0.795860;0.776883;0.781484;0.791139;0.776180,legacy,
knn_standard_k15_uniform_p1,KNN,0.7838485671235469,0.0103993948818614,0.787809;0.793560;0.774583;0.794591;0.768700,legacy,
knn_scaler_robust_k21_uniform_p1,KNN,0.7837334261519556,0.0084316530244456,0.790684;0.780334;0.785509;0.792865;0.769275,knn_scaler_compare,2026-05-07T22:43:46
knn_standard_k35_distance_p2,KNN,0.783733161460067,0.0074006059109318,0.793560;0.778033;0.787234;0.787112;0.772727,legacy,
knn_standard_k15_distance_p1,KNN,0.7836188145641417,0.0106931849673733,0.788384;0.793560;0.770558;0.794591;0.771001,legacy,
knn_standard_k25_uniform_p1,KNN,0.7836183513533366,0.0060374025384944,0.794135;0.778033;0.784359;0.784235;0.777330,legacy,
